title,link,rating,comments
"ZimaBoard 2 1664 x86 Home Server, Quad-Core N150, 16GB DDR5, 64GB eMMC, PCIe 3.0×4 Expansion, Dual 2.5GbE & Dual SATA3.0, Low-Power 24/7 Fanless, All-in-One NAS/Router/Docker/Home Lab with ZimaOS",https://www.amazon.com/ZimaBoard-Quad-Core-N150-Expansion-Low-Power/dp/B0FYPBZQ3Z/ref=zg_bs_g_11036071_d_sccl_1/139-0758525-3734348?psc=1,4.4,370
"ZimaBoard 2 HDD Expansion Bracket - Dual 3.5"" Bay Aluminum Drive Mount, Tool-Assembly Rack Tray for Home Server & NAS Storage",https://www.amazon.com/ZimaBoard-HDD-Expansion-Bracket-Tool-Assembly/dp/B0FSDQP9L3/ref=zg_bs_g_11036071_d_sccl_2/139-0758525-3734348?psc=1,4.0,2
Learn SQL Server Administration in a Month of Lunches: Covers Microsoft SQL Server 2005-2014,https://www.amazon.com/Learn-Server-Administration-Month-Lunches/dp/1617292133/ref=zg_bs_g_11036071_d_sccl_3/139-0758525-3734348?psc=1,4.7,67
"ZimaBlade Personal Cloud NAS Server, 16GB RAM + 32GB eMMC, Support 40TB+ Capacity, Remote Access,Plex 4K Media Server, Beginner Friendly CasaOS, x86 Quad-Core, PCIe Expandable NAS Starter Kit",https://www.amazon.com/ZimaBlade-Personal-Capacity-Quad-Core-Expandable/dp/B0FBFQDXSQ/ref=zg_bs_g_11036071_d_sccl_4/139-0758525-3734348?psc=1,4.4,163
"Rosewill THOR NAS Pro - Full Tower Workstation Case | Server Chassis | Supports up to 8 3.5"" Hot-Swap 3.5""/2.5"" SATA/SAS and 2 2.5"" SSD | E-ATX Compatible | 1x 140mm PWM Fan | USB 3.2 Type-C | AI, NAS",https://www.amazon.com/Rosewill-THOR-NAS-Pro-ATX/dp/B0FCQ3Y6N8/ref=zg_bs_g_11036071_d_sccl_5/139-0758525-3734348?psc=1,4.2,58
"Hewlett Packard Enterprise ProLiant MicroServer Gen11 Tower Server, Intel Xeon E-2434 Processor, 32GB Memory, 4TB HDD Storage, External 180W US Power Supply (HPE Smart Choice P74440-005)",https://www.amazon.com/Hewlett-Packard-Enterprise-MicroServer-P74440-005/dp/B0D827T4XF/ref=zg_bs_g_11036071_d_sccl_6/139-0758525-3734348?psc=1,4.9,9
Dell PowerEdge R640 Server 2X Gold 6138 2.00Ghz 40-Core 128GB RAM 8.0TB Storage (Renewed),https://www.amazon.com/Dell-PowerEdge-R640-2-00Ghz-40-Core/dp/B0CN3MTPB8/ref=zg_bs_g_11036071_d_sccl_7/139-0758525-3734348?psc=1,2.0,2
"HP ProLiant DL360p Gen8 1U RackMount 64-bit Server with 2×6-Core E5-2640 Xeon 2.5GHz CPUs + 64GB PC3-10600R RAM + 8×300GB 10K SAS SFF HDD, P420i RAID, 4×GigaBit NIC, 2×Power Supplies, NO OS (Renewed)",https://www.amazon.com/HP-DL360p-Gen8-RackMount-PC3-10600R/dp/B07QCVVF7D/ref=zg_bs_g_11036071_d_sccl_8/139-0758525-3734348?psc=1,4.3,278
"Quiet Rackmount Computer (Intel 20-Core 2.4-5.2GHz Ultra 7 265 CPU, 64GB DDR5 RAM, 2x512GB SSD, W11 Pro) - 2U Rack Mount Server or Workstation Desktop PC for Home or Business",https://www.amazon.com/Rackmount-Computer-20-Core-2-4-5-2GHz-2x512GB/dp/B0FVGGMDWS/ref=zg_bs_g_11036071_d_sccl_9/139-0758525-3734348?psc=1,5.0,2
HP High-End Virtualization Server 52-Core 128GB RAM 3.84TB DL380 G10 (Renewed),https://www.amazon.com/HP-High-End-Virtualization-52-Core-Renewed/dp/B0BSLLS5YK/ref=zg_bs_g_11036071_d_sccl_10/139-0758525-3734348?psc=1,5.0,1
